game,date,age,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,minus_plus
1,2003-10-29,18-303,CLE,SAC,L (-14),42:00,12,20,.600,0,2,.000,1,3,.333,2,4,6,9,4,0,2,25,24.7,-9
2,2003-10-30,18-304,CLE,PHO,L (-9),41:00,8,17,.471,1,5,.200,4,7,.571,2,10,12,8,1,0,7,21,14.7,-3
3,2003-11-01,18-306,CLE,POR,L (-19),39:00,3,12,.250,0,1,.000,2,2,1.000,0,4,4,6,2,0,2,8,5.0,-21
4,2003-11-05,18-310,CLE,DEN,L (-4),41:00,3,11,.273,0,2,.000,1,1,1.000,2,9,11,7,2,3,2,7,11.2,-3
5,2003-11-07,18-312,CLE,IND,L (-1),44:00,8,18,.444,1,2,.500,6,7,.857,0,5,5,3,0,0,7,23,9.0,-7
6,2003-11-08,18-313,CLE,WAS,W (+13),45:00,8,19,.421,0,0,,1,4,.250,5,3,8,9,1,1,2,17,15.7,+14
7,2003-11-10,18-315,CLE,NYK,W (+14),34:00,7,12,.583,3,3,1.000,0,0,,1,4,5,4,1,1,2,17,15.8,+20
8,2003-11-12,18-317,CLE,MIA,L (-5),42:00,6,15,.400,2,5,.400,4,6,.667,1,2,3,7,2,1,4,18,12.8,-4
9,2003-11-14,18-319,CLE,BOS,L (-9),35:00,3,12,.250,2,4,.500,2,4,.500,1,4,5,3,0,0,4,10,0.8,-1
10,2003-11-15,18-320,CLE,PHI,W (+3),47:00,10,19,.526,0,1,.000,2,4,.500,0,5,5,8,1,2,5,22,15.6,+8
11,2003-11-18,18-323,CLE,LAC,W (+8),39:00,6,16,.375,0,2,.000,2,4,.500,2,5,7,8,0,1,3,14,9.8,+1
12,2003-11-19,18-324,CLE,WAS,L (-11),40:00,10,18,.556,2,4,.500,6,8,.750,2,5,7,8,2,1,4,28,25.0,-5
13,2003-11-21,18-326,CLE,MIN,L (-14),36:00,8,19,.421,0,2,.000,3,3,1.000,2,7,9,2,1,0,1,19,12.2,-5
14,2003-11-22,18-327,CLE,ATL,L (-9),42:00,3,16,.188,0,1,.000,9,10,.900,2,4,6,4,2,1,3,15,9.3,-6
15,2003-11-26,18-331,CLE,NOH,L (-10),39:00,5,17,.294,1,4,.250,4,4,1.000,2,6,8,9,0,0,4,15,10.2,-13
16,2003-11-28,18-333,CLE,DET,L (-4),36:00,2,8,.250,0,2,.000,2,3,.667,0,2,2,7,0,0,4,6,1.1,-10
17,2003-11-29,18-334,CLE,MEM,L (-7),55:00,14,28,.500,3,6,.500,2,3,.667,2,14,16,7,1,1,8,33,22.4,-10
18,2003-12-02,18-337,CLE,DEN,L (-12),32:00,6,19,.316,2,3,.667,5,7,.714,3,3,6,5,2,0,2,19,12.2,-12
19,2003-12-03,18-338,CLE,LAC,L (-10),34:00,2,13,.154,0,3,.000,0,0,,4,2,6,8,2,0,5,4,0.9,+3
20,2003-12-06,18-341,CLE,ATL,W (+10),36:00,4,12,.333,0,2,.000,0,0,,1,5,6,5,2,1,3,8,5.8,-5
21,2003-12-09,18-344,CLE,TOR,L (-7),37:00,7,16,.438,0,0,,4,4,1.000,0,5,5,3,1,0,2,18,11.4,-2
22,2003-12-11,18-346,CLE,DET,W (+9),43:00,8,21,.381,1,3,.333,6,8,.750,1,2,3,9,1,1,4,23,14.8,+9
23,2003-12-13,18-348,CLE,BOS,L (-7),45:00,10,20,.500,1,5,.200,16,18,.889,1,2,3,4,0,0,2,37,27.5,-2
24,2003-12-15,18-350,CLE,IND,L (-10),44:00,10,16,.625,0,3,.000,7,8,.875,1,3,4,6,3,3,6,27,23.9,-12
25,2003-12-17,18-352,CLE,HOU,L (-4),36:00,7,19,.368,2,4,.500,1,2,.500,0,1,1,3,0,0,2,17,5.7,-9
26,2003-12-19,18-354,CLE,PHI,W (+7),42:00,14,24,.583,5,7,.714,3,3,1.000,1,3,4,5,4,0,4,36,29.5,+9
27,2003-12-20,18-355,CLE,CHI,W (+8),42:00,11,22,.500,0,5,.000,10,12,.833,1,5,6,10,2,2,4,32,28.0,+9
28,2003-12-23,18-358,CLE,NOH,W (+11),39:00,7,22,.318,1,6,.167,7,8,.875,2,4,6,2,6,1,5,22,14.3,+9
29,2003-12-25,18-360,CLE,ORL,L (-12),47:00,13,28,.464,4,10,.400,4,5,.800,1,1,2,6,2,1,8,34,19.1,-9
30,2003-12-26,18-361,CLE,CHI,L (-7),34:00,7,24,.292,1,4,.250,3,4,.750,1,2,3,4,1,2,5,18,5.1,-12
31,2003-12-28,18-363,CLE,POR,W (+12),39:00,15,23,.652,0,2,.000,2,2,1.000,3,7,10,9,3,0,5,32,30.0,+11
32,2003-12-30,19-000,CLE,IND,L (-3),38:00,9,20,.450,0,4,.000,4,6,.667,2,8,10,4,0,0,4,22,12.6,-2
33,2004-01-02,19-003,CLE,NJN,L (-15),37:00,6,19,.316,0,4,.000,2,4,.500,1,3,4,9,1,0,3,14,7.4,-14
34,2004-01-06,19-007,CLE,NYK,W (+11),41:00,6,17,.353,0,2,.000,2,2,1.000,0,4,4,10,1,1,4,14,10.0,+10
